,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,64.0,32768.0,7144.8546875,3.8620836148648645,2022.8718591327588
0,16.0,128.0,32.0,1651.3128125,0.8926015202702702,17.094743268583
0,16.0,128.0,64.0,1711.3340625,0.9250454391891892,32.99035592011457
0,16.0,128.0,128.0,1692.0228125,0.9146069256756756,66.7337803471336
0,16.0,128.0,256.0,1853.4421875,1.0018606418918918,121.84364252092881
0,16.0,128.0,512.0,1996.9928125,1.0794555743243242,226.17022668983066
0,16.0,128.0,1024.0,2208.2015625,1.1936224662162163,409.0753445868454
0,16.0,128.0,2048.0,2702.5790625,1.4608535472972974,668.4879413544563
0,16.0,128.0,4096.0,3451.9609375,1.8659248310810812,1046.7331324367499
0,16.0,128.0,8192.0,4740.5171875,2.562441722972973,1524.4251269248248
0,16.0,128.0,16384.0,7465.4640625,4.03538597972973,1935.9983423863368
0,16.0,128.0,32768.0,10462.4715625,5.6553900337837835,2762.851023487491
0,16.0,256.0,32.0,1679.9821875,0.9080984797297298,33.60607242110281
0,16.0,256.0,64.0,1713.8865625,0.9264251689189189,65.88246521565912
0,16.0,256.0,128.0,1805.0865625,0.9757224662162162,125.1076647682797
0,16.0,256.0,256.0,1966.4953125,1.0629704391891892,229.67774417730735
0,16.0,256.0,512.0,2242.9646875,1.2124133445945946,402.7350823457146
0,16.0,256.0,1024.0,2607.6440625,1.409537331081081,692.8248620046305
0,16.0,256.0,2048.0,3305.9778125,1.787015033783784,1092.9541485388988
0,16.0,256.0,4096.0,4576.3615625,2.4737089527027027,1579.1067192806793
0,16.0,256.0,8192.0,7213.9590625,3.899437331081081,2003.4942515677276
0,16.0,256.0,16384.0,11905.5109375,6.435411317567568,2427.972266772675
0,16.0,256.0,32768.0,21864.8584375,11.818842398648648,2644.0829940258595
0,16.0,512.0,32.0,1731.9815625,0.93620625,65.19420980311352
0,16.0,512.0,64.0,1836.0715625,0.9924711148648648,122.99640149910303
0,16.0,512.0,128.0,2016.3503125,1.0899190878378378,223.99909060911025
0,16.0,512.0,256.0,2264.9121875,1.224276858108108,398.832472856622
0,16.0,512.0,512.0,2713.2034375,1.4665964527027027,665.8701411563347
0,16.0,512.0,1024.0,3375.7396875,1.8247241554054057,1070.3675575521277
0,16.0,512.0,2048.0,4570.2478125,2.4704042229729732,1581.2190357076938
0,16.0,512.0,4096.0,7114.6859375,3.8457761824324326,2031.44957948896
0,16.0,512.0,8192.0,10671.4046875,5.768326858108107,2708.757736836811
0,16.0,512.0,16384.0,20602.2734375,11.136364020270271,2806.12237450855
