,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,32.0,64.0,16384.0,8082.2553125,4.368786655405406,894.1270031275593
0,32.0,64.0,32768.0,12886.3621875,6.965601182432433,1121.5830385786567
0,32.0,128.0,32.0,3267.3634375,1.7661423986486486,8.6396184584006
0,32.0,128.0,64.0,3337.7634375,1.8041964527027028,16.914778322782002
0,32.0,128.0,128.0,3600.7671875,1.946360641891892,31.358611987913463
0,32.0,128.0,256.0,3519.8415625,1.9026170608108108,64.15918280485177
0,32.0,128.0,512.0,3657.4184375,1.976982939189189,123.49152870771162
0,32.0,128.0,1024.0,3923.6796875,2.120907939189189,230.22278745113584
0,32.0,128.0,2048.0,4497.0578125,2.430842060810811,401.7384123544639
0,32.0,128.0,4096.0,5684.7615625,3.072844087837838,635.6083123084352
0,32.0,128.0,8192.0,8034.3734375,4.342904560810811,899.4556864943205
0,32.0,128.0,16384.0,12777.8865625,6.90696570945946,1131.1045218092845
0,32.0,128.0,32768.0,22130.7028125,11.962542060810813,1306.1605097915506
0,32.0,256.0,32.0,3416.3578125,1.846679898648649,16.525647956264713
0,32.0,256.0,64.0,3475.3415625,1.8785630067567567,32.49034529788658
0,32.0,256.0,128.0,3531.7046875,1.9090295608108108,63.943659215432355
0,32.0,256.0,256.0,3682.1784375,1.9903667229729731,122.6611591456757
0,32.0,256.0,512.0,3941.8646875,2.130737668918919,229.16067036957452
0,32.0,256.0,1024.0,4551.3046875,2.460164695945946,396.9500752056026
0,32.0,256.0,2048.0,5787.3840625,3.1283157094594594,624.3376543459411
0,32.0,256.0,4096.0,8196.6503125,4.430621790540541,881.6482882897038
0,32.0,256.0,8192.0,12957.5109375,7.004059966216216,1115.4244952954034
0,32.0,256.0,16384.0,22304.7690625,12.056631925675674,1295.9672458679347
0,32.0,256.0,32768.0,41333.9715625,22.34268733108108,1398.6679201305337
0,32.0,512.0,32.0,3556.1890625,1.922264358108108,31.751704355115738
0,32.0,512.0,64.0,3574.2178125,1.9320096283783783,63.183088619505945
0,32.0,512.0,128.0,3724.8040625,2.0134076013513513,121.25745037487545
0,32.0,512.0,256.0,4003.3621875,2.1639795608108106,225.64047052727182
0,32.0,512.0,512.0,4690.3371875,2.5353173986486484,385.18356401848393
0,32.0,512.0,1024.0,6009.3421875,3.2482930743243243,601.2773532914498
0,32.0,512.0,2048.0,8460.7928125,4.57340152027027,854.1235818509416
0,32.0,512.0,4096.0,13336.7071875,7.209030912162162,1083.7101704580466
0,32.0,512.0,8192.0,22623.0153125,12.228656925675672,1277.736402245714
0,32.0,512.0,16384.0,41510.9484375,22.438350506756752,1392.7048702400589
0,32.0,512.0,32768.0,74232.4334375,40.12563969594595,1557.607567409615
0,64.0,16.0,32.0,2964.8440625,1.6026184121621623,1.1901454734845356
0,64.0,16.0,64.0,3091.0871875,1.6708579391891893,2.2830774500877267
0,64.0,16.0,128.0,3181.4121875,1.7196822635135138,4.436514489424385
0,64.0,16.0,256.0,3422.1009375,1.8497842905405406,8.248956503498597
0,64.0,16.0,512.0,3482.1146875,1.8822241554054053,16.21357399135569
0,64.0,16.0,1024.0,3741.2053125,2.0222731418918922,30.18146018618852
0,64.0,16.0,2048.0,4032.0940625,2.179510304054054,56.00814361865796
0,64.0,16.0,4096.0,4713.9503125,2.54808125,95.81353179238751
0,64.0,16.0,8192.0,4937.4996875,2.6689187499999996,182.95096903175545
0,64.0,16.0,16384.0,5541.7415625,2.9955359797297296,326.0059411777543
0,64.0,16.0,32768.0,6813.1571875,3.682787668918919,530.3387924271368
0,64.0,32.0,32.0,3127.3134375,1.6904396959459458,2.2566304108390693
0,64.0,32.0,64.0,3181.6484375,1.719809966216216,4.436185540124648
0,64.0,32.0,128.0,3337.6653125,1.8041434121621622,8.457636812309868
